Date,num_pickups,num_passengers,missing_dt,temp,temp_min,temp_max,humidity,wind_speed,weather_main,weather_description,Passengers,Month,Hour,Day,holiday,precip_in,Avg_Delay_Arriving,Avg_Delay_Departing,Cancelled_Arriving_Flights,Cancelled_Departing_Flights
2014-01-01 00:00:00-05:00,107,210,FALSE,269.27,267.59,270.93,80,3,clear,sky is clear,108,1,0,2,TRUE,0,0,0,0,0
2014-01-01 01:00:00-05:00,34,45,FALSE,268.9,267.04,270.93,80,2,clear,sky is clear,0,1,1,2,TRUE,0,0,0,0,0
2014-01-01 02:00:00-05:00,34,70,FALSE,268.48,266.48,270.37,57,3,clear,sky is clear,0,1,2,2,TRUE,0,0,0,0,0
2014-01-01 03:00:00-05:00,12,18,FALSE,268.33,265.93,270.37,80,3,clear,sky is clear,0,1,3,2,TRUE,0,291,0,0,0
2014-01-01 04:00:00-05:00,25,37,FALSE,268.1,265.37,270.37,80,3,clear,sky is clear,0,1,4,2,TRUE,0,0,0,0,0
2014-01-01 05:00:00-05:00,16,24,FALSE,268.02,265.37,270.37,80,1,clear,sky is clear,243,1,5,2,TRUE,0,0,0,0,0
2014-01-01 06:00:00-05:00,14,17,FALSE,267.9,265.37,270.37,80,1,clear,sky is clear,141,1,6,2,TRUE,0,0,2.166666667,1,0
2014-01-01 07:00:00-05:00,21,35,FALSE,267.59,263.71,270.37,80,1,clear,sky is clear,717,1,7,2,TRUE,0,0,1.529411765,1,0
2014-01-01 08:00:00-05:00,94,190,FALSE,267.67,264.26,270.37,80,0,clear,sky is clear,797,1,8,2,TRUE,0,2.666666667,8.5,0,0
2014-01-01 09:00:00-05:00,164,285,FALSE,269,265.37,272.04,80,1,clear,sky is clear,761,1,9,2,TRUE,0,6.25,5.117647059,0,0
2014-01-01 10:00:00-05:00,379,673,FALSE,270.65,268.71,272.59,63,3,clear,sky is clear,778,1,10,2,TRUE,0,5.916666667,4.75,0,0
2014-01-01 11:00:00-05:00,367,703,FALSE,271.41,269.26,272.59,80,1,clear,sky is clear,793,1,11,2,TRUE,0,1.875,3.95,0,0
2014-01-01 12:00:00-05:00,450,836,FALSE,272.22,270.93,273.71,80,3,clear,sky is clear,802,1,12,2,TRUE,0,5.5,7.214285714,1,0
2014-01-01 13:00:00-05:00,430,722,FALSE,272.52,271.48,273.71,80,3,clear,sky is clear,1282,1,13,2,TRUE,0,66.70588235,6.3,1,0
2014-01-01 14:00:00-05:00,455,856,FALSE,273.16,272.04,274.82,80,1,clear,sky is clear,771,1,14,2,TRUE,0,19.55555556,18.22222222,0,1
2014-01-01 15:00:00-05:00,565,1070,FALSE,273.32,272.04,274.82,80,1,clear,sky is clear,840,1,15,2,TRUE,0,6,8.8125,1,1
2014-01-01 16:00:00-05:00,542,995,FALSE,273.32,272.04,274.82,80,0,clear,sky is clear,482,1,16,2,TRUE,0,15.93333333,26.75,0,1
2014-01-01 17:00:00-05:00,669,1227,FALSE,272.83,272.04,274.26,80,3,clear,sky is clear,692,1,17,2,TRUE,0,23.09090909,27.11764706,1,0
2014-01-01 18:00:00-05:00,796,1553,FALSE,272.58,271.48,274.26,80,0,clear,sky is clear,491,1,18,2,TRUE,0,11.33333333,38.94736842,1,2
2014-01-01 19:00:00-05:00,738,1354,FALSE,272.11,270.93,274.26,80,0,clear,sky is clear,686,1,19,2,TRUE,0,11.53846154,33.11111111,0,0
2014-01-01 20:00:00-05:00,501,869,FALSE,271.92,270.37,274.26,80,1,clear,sky is clear,724,1,20,2,TRUE,0,28,51,0,1
2014-01-01 21:00:00-05:00,430,778,FALSE,271.87,270.93,274.26,80,1,clear,sky is clear,325,1,21,2,TRUE,0,24.88888889,83,0,0
2014-01-01 22:00:00-05:00,633,1096,FALSE,271.87,270.93,274.26,80,1,clear,sky is clear,199,1,22,2,TRUE,0,29.57142857,76,0,0
2014-01-01 23:00:00-05:00,541,944,FALSE,284.793,284.793,284.793,80,3,clear,sky is clear,0,1,23,2,TRUE,0,49.71428571,201,0,0
2014-01-02 00:00:00-05:00,235,444,FALSE,272.1,270.37,274.26,80,2,clear,sky is clear,0,1,0,3,FALSE,0,98,0,0,0
2014-01-02 01:00:00-05:00,146,228,FALSE,272.1,270.37,274.26,80,2,clear,sky is clear,0,1,1,3,FALSE,0,168.5,0,0,0
