tpep_pickup_datetime,num_pickups,num_passengers
1/1/2014 0:00,107,210
1/1/2014 1:00,34,45
1/1/2014 2:00,34,70
1/1/2014 3:00,12,18
1/1/2014 4:00,25,37
1/1/2014 5:00,16,24
1/1/2014 6:00,14,17
1/1/2014 7:00,21,35
1/1/2014 8:00,94,190
1/1/2014 9:00,164,285
1/1/2014 10:00,379,673
1/1/2014 11:00,367,703
1/1/2014 12:00,450,836
1/1/2014 13:00,430,722
1/1/2014 14:00,455,856
1/1/2014 15:00,565,1070
1/1/2014 16:00,542,995
1/1/2014 17:00,669,1227
1/1/2014 18:00,796,1553
1/1/2014 19:00,738,1354
1/1/2014 20:00,501,869
1/1/2014 21:00,430,778
1/1/2014 22:00,633,1096
1/1/2014 23:00,541,944
1/2/2014 0:00,235,444
1/2/2014 1:00,146,228
1/2/2014 2:00,137,246
1/2/2014 3:00,62,109
1/2/2014 4:00,66,110
1/2/2014 5:00,48,72
1/2/2014 6:00,29,44
1/2/2014 7:00,112,194
1/2/2014 8:00,303,504
1/2/2014 9:00,506,890
1/2/2014 10:00,532,1010
1/2/2014 11:00,600,1099
1/2/2014 12:00,613,1149
1/2/2014 13:00,542,987
1/2/2014 14:00,615,1118
1/2/2014 15:00,485,848
1/2/2014 16:00,681,1253
1/2/2014 17:00,600,1194
1/2/2014 18:00,639,1214
1/2/2014 19:00,449,812
1/2/2014 20:00,291,518
1/2/2014 21:00,223,435
1/2/2014 22:00,178,341
1/2/2014 23:00,119,241
1/3/2014 0:00,95,149
1/3/2014 1:00,72,115
1/3/2014 2:00,26,51
1/3/2014 3:00,15,32
1/3/2014 4:00,11,13
1/3/2014 5:00,11,17
1/3/2014 6:00,16,33
1/3/2014 7:00,26,56
1/3/2014 8:00,33,63
1/3/2014 9:00,70,135
1/3/2014 10:00,144,282
1/3/2014 11:00,250,467
1/3/2014 12:00,461,845
1/3/2014 13:00,454,884
1/3/2014 14:00,524,969
1/3/2014 15:00,600,1176
1/3/2014 16:00,628,1125
1/3/2014 17:00,586,1087
1/3/2014 18:00,618,1094
1/3/2014 19:00,510,928
1/3/2014 20:00,592,1111
1/3/2014 21:00,513,980
1/3/2014 22:00,548,1029
1/3/2014 23:00,676,1217
1/4/2014 0:00,403,729
1/4/2014 1:00,183,350
1/4/2014 2:00,87,172
1/4/2014 3:00,39,80
1/4/2014 4:00,17,26
1/4/2014 5:00,43,96
1/4/2014 6:00,50,97
1/4/2014 7:00,88,133
1/4/2014 8:00,194,320
1/4/2014 9:00,272,528
1/4/2014 10:00,331,591
1/4/2014 11:00,476,866
1/4/2014 12:00,455,807
1/4/2014 13:00,403,741
1/4/2014 14:00,417,768
1/4/2014 15:00,357,657
1/4/2014 16:00,354,687
1/4/2014 17:00,432,752
1/4/2014 18:00,563,1063
1/4/2014 19:00,487,849
1/4/2014 20:00,396,696
1/4/2014 21:00,324,588
1/4/2014 22:00,422,710
1/4/2014 23:00,443,773
1/5/2014 0:00,293,523
1/5/2014 1:00,177,324
1/5/2014 2:00,184,352
1/5/2014 3:00,90,178
1/5/2014 4:00,44,83
1/5/2014 5:00,21,38
1/5/2014 6:00,30,39
1/5/2014 7:00,36,60
1/5/2014 8:00,174,280
1/5/2014 9:00,225,386
1/5/2014 10:00,239,396
1/5/2014 11:00,418,780
1/5/2014 12:00,403,683
1/5/2014 13:00,579,1016
1/5/2014 14:00,648,1098
1/5/2014 15:00,609,1074
1/5/2014 16:00,597,1048
1/5/2014 17:00,525,898
1/5/2014 18:00,762,1299
1/5/2014 19:00,600,1075
1/5/2014 20:00,320,513
1/5/2014 21:00,628,1120
1/5/2014 22:00,632,1046
1/5/2014 23:00,256,424
1/6/2014 0:00,367,646
1/6/2014 1:00,366,656
1/6/2014 2:00,246,372
1/6/2014 3:00,110,166
1/6/2014 4:00,32,42
1/6/2014 5:00,67,103
1/6/2014 6:00,126,205
1/6/2014 7:00,201,323
1/6/2014 8:00,460,769
1/6/2014 9:00,505,863
1/6/2014 10:00,769,1351
1/6/2014 11:00,747,1270
1/6/2014 12:00,675,1159
1/6/2014 13:00,619,1056
1/6/2014 14:00,717,1261
1/6/2014 15:00,676,1199
1/6/2014 16:00,674,1183
1/6/2014 17:00,660,1156
1/6/2014 18:00,689,1164
1/6/2014 19:00,696,1213
1/6/2014 20:00,554,997
1/6/2014 21:00,468,743
1/6/2014 22:00,659,1121
1/6/2014 23:00,546,895
1/7/2014 0:00,450,768
1/7/2014 1:00,176,283
1/7/2014 2:00,104,152
1/7/2014 3:00,39,65
1/7/2014 4:00,19,23
1/7/2014 5:00,36,70
1/7/2014 6:00,40,46
1/7/2014 7:00,143,228
1/7/2014 8:00,234,371
1/7/2014 9:00,404,640
1/7/2014 10:00,615,1005
1/7/2014 11:00,552,918
1/7/2014 12:00,556,1009
1/7/2014 13:00,439,749
1/7/2014 14:00,484,808
1/7/2014 15:00,562,973
1/7/2014 16:00,662,1148
1/7/2014 17:00,640,1085
1/7/2014 18:00,642,1142
1/7/2014 19:00,660,1120
1/7/2014 20:00,403,635
1/7/2014 21:00,575,1039
1/7/2014 22:00,634,1045
1/7/2014 23:00,472,787
1/8/2014 0:00,365,622
1/8/2014 1:00,92,173
